entity1,entity2,label,raw_response,prediction,correct
quicken legal business pro 2007 nolo press 79.99,palo alto business plan pro 2007 83.99,NO,"Expert_A_reason: The product names, publishers, and prices are different, indicating they are distinct software products.
Expert_A_vote: NO
Expert_B_reason: The entities have different names, publishers, and prices, so they do not refer to the same real-world entity.
Expert_B_vote: NO
Expert_C_reason: The titles, publishers, and prices do not match, suggesting these are two separate products.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
apple final cut studio 2 ( mac ) apple 1299.0,apple software m9372z/a final cut express 2.0 upgrade apple software 79.99,NO,"Expert_A_reason: The first entity is ""Final Cut Studio 2"" (a full suite), while the second is an ""Express 2.0 upgrade"" (a different, more limited product line and version).  
Expert_A_vote: NO  
Expert_B_reason: The products have different names, versions, and price points, indicating they are distinct software packages.  
Expert_B_vote: NO  
Expert_C_reason: ""Final Cut Studio 2"" and ""Final Cut Express 2.0 upgrade"" are separate Apple software products with different purposes and features.  
Expert_C_vote: NO  
Vote_Count: 0/3 YES  
Final_Decision: NO",NO,True
adobe acrobat 7.0 professional adobe 449.99,adobe after effects professional 7.0 software effects software 998.95,NO,"Expert_A_reason: The product names and descriptions indicate that one is ""Adobe Acrobat 7.0 Professional"" and the other is ""Adobe After Effects Professional 7.0,"" which are different Adobe software products.
Expert_A_vote: NO
Expert_B_reason: The entities refer to different Adobe products—Acrobat for PDFs and After Effects for video effects—despite similar version numbers.
Expert_B_vote: NO
Expert_C_reason: The names and functions of the software are distinct, with one being Acrobat and the other After Effects.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft powerpoint 2004 ( mac ) microsoft 229.99,microsoft money 2007 home and business ( pc ) 89.99,NO,"Expert_A_reason: The products have different names, versions, purposes, and platforms (PowerPoint for Mac vs. Money for PC).
Expert_A_vote: NO
Expert_B_reason: The entities refer to entirely different Microsoft software products with different functions and release years.
Expert_B_vote: NO
Expert_C_reason: One entity is a presentation software for Mac, while the other is financial software for PC, so they are not the same.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
adobe creative suite cs3 design premium [ mac ] adobe 1799.0,adobe cs3 design standard academic 385.99,NO,"Expert_A_reason: The two entities refer to different editions of Adobe CS3 (Design Premium vs. Design Standard Academic), which are distinct products.
Expert_A_vote: NO
Expert_B_reason: The product names indicate different versions (Design Premium for Mac vs. Design Standard Academic), so they are not the same entity.
Expert_B_vote: NO
Expert_C_reason: The entities differ in both edition (Premium vs. Standard) and license type (regular vs. academic), indicating they are not the same product.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
adobe cs3 design standard macosx dvd adobe 399.0,adobe cs3 design standard upgrade 413.99,NO,"Expert_A_reason: One is a standard version for MacOSX on DVD, while the other is an upgrade version, so they are not the same product.  
Expert_A_vote: NO  
Expert_B_reason: The first entity is a full version for MacOSX, while the second is specifically an upgrade, indicating they are different products.  
Expert_B_vote: NO  
Expert_C_reason: The difference between a full version and an upgrade means they are not the same real-world entity.  
Expert_C_vote: NO  
Vote_Count: 0/3 YES  
Final_Decision: NO",NO,True
professional home design suite platinum punch ! software 99.95,scrapbook designer platinum riverdeep-learning-company 17.9,NO,"Expert_A_reason: The product names, purposes, and companies are different, indicating they are unrelated software products.
Expert_A_vote: NO
Expert_B_reason: One entity is a home design software while the other is a scrapbook designer from a different company, so they are not the same.
Expert_B_vote: NO
Expert_C_reason: The names, functions, and associated companies of the two entities do not match.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
sims 2 glamour life stuff pack aspyr media 24.99,aspyr media inc sims 2 glamour life stuff pack 23.44,YES,"Expert_A_reason: Both entities refer to ""The Sims 2 Glamour Life Stuff Pack"" published by Aspyr Media, with only a minor price difference.
Expert_A_vote: YES
Expert_B_reason: The product name and publisher match exactly, and the small price difference does not indicate a different entity.
Expert_B_vote: YES
Expert_C_reason: Both entities describe the same game expansion pack from Aspyr Media, with only a slight variation in price.
Expert_C_vote: YES
Vote_Count: 3/3 YES
Final_Decision: YES",YES,True
microsoft office 2004 professional ( mac ) microsoft 499.99,diskeeper 2007 professional 46.95,NO,"Expert_A_reason: The two entities have different product names, versions, and prices, and are made by different companies.
Expert_A_vote: NO
Expert_B_reason: One entity is Microsoft Office 2004 for Mac, while the other is Diskeeper 2007 Professional, which are unrelated software products.
Expert_B_vote: NO
Expert_C_reason: The entities refer to completely different software products with no overlap in name, version, or manufacturer.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
final draft av 2.5 win/mac final draft 199.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software 199.95,YES,"Expert_A_reason: Both entities refer to ""Final Draft AV 2.5"" screenwriting software for Mac/Win with nearly identical prices.
Expert_A_vote: YES
Expert_B_reason: The product name, version, platform, and price are all highly similar, indicating they are the same entity.
Expert_B_vote: YES
Expert_C_reason: Both mention ""Final Draft AV 2.5"" for Mac/Win with almost the same price and purpose as screenwriting software.
Expert_C_vote: YES
Vote_Count: 3/3 YES
Final_Decision: YES",YES,True
punch ! master landscape & home design punch ! software 59.99,punch software 20100 punch ! 5 in 1 home design punch software 35.99,NO,"Expert_A_reason: Both entities refer to ""Punch! Software"" home design products but have different product names and prices, suggesting they are not the same exact product.  
Expert_A_vote: NO  
Expert_B_reason: The entities mention similar brands and product types but have different product titles and prices, indicating they are likely different products.  
Expert_B_vote: NO  
Expert_C_reason: Although both are from Punch! Software and relate to home design, the specific product names and prices differ, so they are not the same entity.  
Expert_C_vote: NO  
Vote_Count: 0/3 YES  
Final_Decision: NO",NO,True
sony acid pro 6 professional music workstation sony-pictures-digital-entertainment 499.95,sibelius photoscore professional scanning software music production software sibelius-software-ltd . 179.95,NO,"Expert_A_reason: The first entity is Sony ACID Pro 6 by Sony Pictures Digital Entertainment, while the second is Sibelius PhotoScore by Sibelius Software Ltd., which are different products from different companies.
Expert_A_vote: NO
Expert_B_reason: The entities have different product names, functions, and manufacturers, indicating they are not the same.
Expert_B_vote: NO
Expert_C_reason: One is a music workstation software from Sony and the other is a music scanning software from Sibelius, so they are distinct entities.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
adobe photoshop elements 4.0 ( mac ) adobe 89.99,adobe photoshop elements 4.0 photo-editing software for mac 85.95,YES,"Expert_A_reason: Both entities refer to ""Adobe Photoshop Elements 4.0"" for Mac, with only minor price differences.
Expert_A_vote: YES
Expert_B_reason: The product name, version, and platform (Mac) are identical, and the price difference is negligible.
Expert_B_vote: YES
Expert_C_reason: Both describe Adobe Photoshop Elements 4.0 for Mac, with similar pricing and purpose.
Expert_C_vote: YES
Vote_Count: 3/3 YES
Final_Decision: YES",YES,True
reel deal casino championship edition phantom efx 19.99,phantom efx reel deal casino shuffle master edition 17.24,NO,"Expert_A_reason: Both entities refer to ""Reel Deal Casino"" games by Phantom EFX but have different edition names and prices, suggesting they are different products.
Expert_A_vote: NO
Expert_B_reason: The titles share the same series and publisher but specify different editions (""Championship"" vs ""Shuffle Master""), indicating they are not the same entity.
Expert_B_vote: NO
Expert_C_reason: Although both are Phantom EFX Reel Deal Casino games, the edition names differ, so they are not the same entity.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
panda internet security 2007 3-user panda software 69.95,mcafee internet security suite 2007 3-user ( pc ) 89.99,NO,"Expert_A_reason: The two entities are different products from different brands (Panda Software vs. McAfee) despite both being 3-user internet security suites from 2007.
Expert_A_vote: NO
Expert_B_reason: The entities have different product names, brands, and prices, indicating they are not the same real-world entity.
Expert_B_vote: NO
Expert_C_reason: Although both are 3-user internet security suites from 2007, they are made by different companies (Panda and McAfee).
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft excel 2004 ( mac ) microsoft 229.99,microsoft ( r ) office ultimate 2007 539.95,NO,"Expert_A_reason: Entity-1 refers specifically to Microsoft Excel 2004 for Mac, while Entity-2 refers to Microsoft Office Ultimate 2007, which is a different product and version.
Expert_A_vote: NO
Expert_B_reason: The first entity is a standalone Excel product for Mac from 2004, while the second is a full Office suite from 2007, so they are not the same.
Expert_B_vote: NO
Expert_C_reason: The products differ in both version, platform, and scope (Excel vs. Office suite), indicating they are not the same entity.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft office frontpage 2003 academic version windows ) microsoft 159.98,microsoft ( r ) windows ( r ) xp professional edition with sp2 199.99,NO,"Expert_A_reason: Entity-1 refers to Microsoft Office FrontPage 2003 (an application), while Entity-2 refers to Microsoft Windows XP Professional Edition (an operating system), which are distinct products.
Expert_A_vote: NO
Expert_B_reason: The first entity is a specific version of Microsoft Office FrontPage, whereas the second is a version of the Windows XP operating system, so they are not the same.
Expert_B_vote: NO
Expert_C_reason: The products described are different: one is a web design software (FrontPage 2003), the other is an operating system (Windows XP Professional).
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft office excel 2007 microsoft 229.95,microsoft microsoft office 2004 software suite mac apple & mac software 399.95,NO,"Expert_A_reason: The first entity refers to Microsoft Office Excel 2007 (a Windows product), while the second refers to Microsoft Office 2004 for Mac, which are different products for different platforms and versions.
Expert_A_vote: NO
Expert_B_reason: The entities refer to different versions (2007 vs 2004) and different platforms (Windows vs Mac), so they are not the same.
Expert_B_vote: NO
Expert_C_reason: One entity is specifically Excel 2007 for Windows, the other is the Office 2004 suite for Mac, so they are not the same product.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
instant immersion 33 languages topics entertainment 49.99,instant immersion 33 languages 47.36,YES,"Expert_A_reason: Both entities refer to ""instant immersion 33 languages"" and the price difference is minor, likely due to retailer variation, while the extra words in Entity-1 seem descriptive.  
Expert_A_vote: YES  
Expert_B_reason: The core product ""instant immersion 33 languages"" matches exactly, and the price difference is small and likely not significant.  
Expert_B_vote: YES  
Expert_C_reason: Despite the slight price difference and extra descriptive terms in Entity-1, both refer to the same language learning product.  
Expert_C_vote: YES  
Vote_Count: 3/3 YES  
Final_Decision: YES",YES,True
instant immersion german audio topics entertainment,topics entertainment instant immersion ingles audio deluxe 17.55,NO,"Expert_A_reason: The first entity is about a German audio product, while the second is about an English (Ingles) audio product, so they refer to different language versions.
Expert_A_vote: NO
Expert_B_reason: The entities have similar structure and branding (""instant immersion"" and ""topics entertainment""), but one is for German and the other for English, indicating they are different products.
Expert_B_vote: NO
Expert_C_reason: Despite sharing some keywords, the language difference (German vs. Ingles/English) means they are not the same entity.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft publisher 2007 version upgrade microsoft 99.95,microsoft excel 2007 ( pc ) 229.95,NO,"Expert_A_reason: Entity-1 refers to Microsoft Publisher 2007 upgrade, while Entity-2 refers to Microsoft Excel 2007, which are different software products.
Expert_A_vote: NO
Expert_B_reason: The first entity is about Microsoft Publisher 2007 upgrade, and the second is about Microsoft Excel 2007, so they are not the same product.
Expert_B_vote: NO
Expert_C_reason: Microsoft Publisher and Microsoft Excel are distinct applications, as indicated by their names and descriptions.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft visual studio professional 2005 upgrade microsoft software 549.0,microsoft windows vista home basic upgrade ( pc ) 99.99,NO,"Expert_A_reason: Entity-1 is a software development tool (Visual Studio), while Entity-2 is an operating system (Windows Vista), so they are different products.
Expert_A_vote: NO
Expert_B_reason: The first entity refers to Visual Studio Professional 2005, and the second refers to Windows Vista Home Basic, which are distinct Microsoft products.
Expert_B_vote: NO
Expert_C_reason: Although both are Microsoft software upgrades, one is for Visual Studio and the other is for Windows Vista, so they are not the same entity.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft word 2007 version upgrade microsoft 109.95,microsoft ( r ) money 2007 premium 69.99,NO,"Expert_A_reason: Entity-1 refers to Microsoft Word 2007 upgrade, while Entity-2 refers to Microsoft Money 2007 Premium, which are different products.
Expert_A_vote: NO
Expert_B_reason: The first entity is about Microsoft Word 2007, and the second is about Microsoft Money 2007 Premium, so they are not the same.
Expert_B_vote: NO
Expert_C_reason: The entities refer to different Microsoft software products (Word vs. Money) and have different prices.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
halo ( mac ) macsoft 29.99,. mac ( mac ) apple 99.99,NO,"Expert_A_reason: The product names ""halo"" and ""."" are different, and the prices and brands do not match.
Expert_A_vote: NO
Expert_B_reason: The entities have different product names, brands, and prices, indicating they are not the same.
Expert_B_vote: NO
Expert_C_reason: The only similarity is the platform ""(mac)"", but the product names, brands, and prices are all different.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
hp dss software v. 4.0 complete package t1936aa ua0 ) hewlett-packard - ( consumables ) 630.36,passwords plus v. 1.0 complete package 28.5,NO,"Expert_A_reason: The product names, versions, and descriptions are completely different, indicating they are distinct software packages.
Expert_A_vote: NO
Expert_B_reason: The entities have different names, versions, and likely serve different purposes, so they are not the same.
Expert_B_vote: NO
Expert_C_reason: The titles, version numbers, and product details do not match between the two entities.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
punch 5 in 1 home design punch ! software 39.99,punch software 20100 punch ! 5 in 1 home design punch software 35.99,YES,"Expert_A_reason: Both entities refer to ""Punch! 5 in 1 Home Design Punch"" software with similar names and only minor price differences.
Expert_A_vote: YES
Expert_B_reason: The product names and descriptions are nearly identical, with only slight variation in price and extra numbers that do not indicate a different product.
Expert_B_vote: YES
Expert_C_reason: Both entities describe the same ""Punch! 5 in 1 Home Design Punch"" software, with only minor differences in price and formatting.
Expert_C_vote: YES
Vote_Count: 3/3 YES
Final_Decision: YES",YES,True
punch ! home design architectura series 18 punch ! software 129.99,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc 45.97,NO,"Expert_A_reason: Both entities refer to Punch! Software products related to home and architectural design, but the product names and versions differ significantly.
Expert_A_vote: NO
Expert_B_reason: The first entity is ""architectura series 18"" while the second is ""master landscape & home design architectural,"" indicating different product lines or versions.
Expert_B_vote: NO
Expert_C_reason: Despite both being Punch! Software home design products, the specific product names and details do not match.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
adobe indesign cs3 upgrade from pagemaker adobe 199.0,adobe contribute cs3 upgrade 82.99,NO,"Expert_A_reason: The two entities refer to different Adobe products (InDesign vs. Contribute) and have different prices.
Expert_A_vote: NO
Expert_B_reason: The product names and upgrade paths are different, indicating they are not the same entity.
Expert_B_vote: NO
Expert_C_reason: One entity is for Adobe InDesign CS3 (upgrade from PageMaker) and the other is for Adobe Contribute CS3, which are distinct products.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
learning quickbooks 2007 intuit 39.95,quickbooks ( r ) 178.99,NO,"Expert_A_reason: Entity-1 refers to a learning resource for QuickBooks 2007 by Intuit, while Entity-2 refers to a QuickBooks product (possibly software) at a much higher price, suggesting they are not the same.  
Expert_A_vote: NO  
Expert_B_reason: The first entity appears to be a training or educational product for QuickBooks 2007, whereas the second is likely the QuickBooks software itself, indicated by the price difference and lack of ""learning"" in Entity-2.  
Expert_B_vote: NO  
Expert_C_reason: The descriptions and prices indicate that Entity-1 is a learning resource for QuickBooks 2007, while Entity-2 is a QuickBooks software product, so they are not the same entity.  
Expert_C_vote: NO  
Vote_Count: 0/3 YES  
Final_Decision: NO",NO,True
adobe creative suite cs3 production premium upsell adobe 1199.0,production prem cs3 mac upgrad 808.15,NO,"Expert_A_reason: Both entities refer to Adobe Creative Suite CS3 Production Premium and mention upgrade/upsell versions, despite slight differences in wording and price.
Expert_A_vote: YES
Expert_B_reason: The names indicate both are upgrade versions of Adobe CS3 Production Premium, likely for Mac, with price differences possibly due to market or condition.
Expert_B_vote: YES
Expert_C_reason: Both entities describe upgrade versions of Adobe CS3 Production Premium, with similar product focus but different price points.
Expert_C_vote: YES
Vote_Count: 3/3 YES
Final_Decision: YES",YES,False
musicalis guitar workshop global-software-publishing 9.99,musicalis universal guitar workshop global-software-publishing 12.9,YES,"Expert_A_reason: Both entities share the same publisher and similar product names, differing only by ""guitar workshop"" vs ""universal guitar workshop"" and price, which suggests they are likely variants of the same product.
Expert_A_vote: YES
Expert_B_reason: The titles are nearly identical except for the addition of ""universal"" in Entity-2, and both are published by ""global-software-publishing,"" indicating they likely refer to the same entity despite the price difference.
Expert_B_vote: YES
Expert_C_reason: The product names are very similar and have the same publisher, but the price and the word ""universal"" could indicate a different edition or version.
Expert_C_vote: YES
Vote_Count: 3/3 YES
Final_Decision: YES",YES,True
mac os x server v10 .4.7 unlimited client apple 999.0,apple apple mac os x server 10 4 7 10 client 499.0,NO,"Expert_A_reason: Both entities refer to Apple Mac OS X Server version 10.4.7, but the client limits (unlimited vs 10) and prices differ significantly.
Expert_A_vote: NO
Expert_B_reason: The entities have the same product name and version but differ in the number of clients (unlimited vs 10) and price, indicating different product editions.
Expert_B_vote: NO
Expert_C_reason: Although both are Apple Mac OS X Server 10.4.7, the client limits and prices are different, suggesting they are not the same product.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft office & windows training topics entertainment 29.99,microsoft windows vista ultimate retail no open box returns 399.99,NO,"Expert_A_reason: The first entity refers to training topics for Microsoft Office and Windows, while the second refers to a specific retail product (Windows Vista Ultimate), so they are not the same entity.
Expert_A_vote: NO
Expert_B_reason: One entity is about training/entertainment related to Microsoft products, and the other is a boxed retail version of Windows Vista Ultimate, which are different things.
Expert_B_vote: NO
Expert_C_reason: The first entity describes a training or entertainment product, while the second is a software retail package, so they do not refer to the same entity.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
foreign policy & reform ( win/mac ) ( jewel case ) fogware publishing 9.99,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ) 9.59,NO,"Expert_A_reason: The titles and content descriptions are completely different, indicating they are different products despite similar formats and platforms.
Expert_A_vote: NO
Expert_B_reason: The subject matter (""foreign policy & reform"" vs ""poetry fiction and drama"") is unrelated, so these are not the same entity.
Expert_B_vote: NO
Expert_C_reason: Although both are software for Win/Mac in jewel cases, the titles and topics are distinct, suggesting they are different products.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft office small business 2007 full version microsoft 449.95,microsoft office 2004 for students and teachers ( mac ) 134.99,NO,"Expert_A_reason: The two entities refer to different versions and editions of Microsoft Office, released in different years and for different user groups and platforms.
Expert_A_vote: NO
Expert_B_reason: One entity is Microsoft Office 2007 Small Business (likely for Windows), while the other is Microsoft Office 2004 for Students and Teachers (Mac), so they are distinct products.
Expert_B_vote: NO
Expert_C_reason: The products differ in version year, target audience, and operating system compatibility.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
